Grade,Education Level,Math Topic,Sub_topic_1,Sub_topic_2,Sub_topic_3,Sub_topic_4,Sub_topic_5
1,Elementary,Counting numbers,Counting objects,Counting forward and backward,Skip counting by 2s and 5s,Counting in different patterns,Counting on a number line
1,Elementary,Comparing numbers,Comparing numbers using symbols,Comparing numbers using objects,Comparing numbers,Comparing quantities,Comparing values
1,Elementary,Addition within 20,Addition without regrouping,Addition with regrouping,Word problems with addition,Adding three numbers,Solving addition equations
1,Elementary,Subtraction within 20,Subtraction without regrouping,Subtraction with regrouping,Word problems with subtraction,Subtracting from a given number,Solving subtraction equations
1,Elementary,Place value within 100,Place value of tens and ones,Expanded form of two-digit numbers,Comparing two-digit numbers,Skip counting in tens and ones,Representing numbers
1,Elementary,Measurement of length,Measuring with non-standard units,Measuring with standard units,Comparing lengths,Estimating lengths,Measuring using different tools
1,Elementary,Measurement of time,Telling time to the hour,Telling time to the half-hour,Telling time to the quarter-hour,Elapsed time,Solving time-related problems
1,Elementary,Measurement of money,Identifying coins and their value,Counting coins to make a given amount,Making change with coins,Solving money word problems,Comparing values of coins and bills
1,Elementary,2D shapes recognition,Identifying shapes and attributes,Sorting shapes by attributes,Creating composite shapes,Identifying lines of symmetry,Describing 2D shapes
1,Elementary,3D shapes recognition,Identifying and naming shapes,Describing attributes of 3D shapes,Sorting 3D shapes,Identifying real-life objects,Constructing 3D shapes
2,Elementary,Addition of two-digit numbers,Addition without regrouping,Addition with minimal regrouping,Addition with regrouping,Addition with multiple regrouping,Problem-solving with addition
2,Elementary,Subtraction of two-digit numbers,Subtraction without regrouping,Subtraction with minimal regrouping,Subtraction with regrouping,Subtraction with multiple regrouping,Problem-solving with subtraction
2,Elementary,Introduction to multiplication concepts,Equal groups and repeated addition,Introduction to multiplication tables,Multiplication word problems,Solving multiplication equations,Understanding the commutative property of multiplication
2,Elementary,Introduction to division concepts,Sharing equally and grouping,Introduction to division facts,Division word problems,Dividing by one-digit divisors,Solving division equations
2,Elementary,Place value within 1000,"Place value of hundreds, tens, and ones",Expanded form of three-digit numbers,Comparing three-digit numbers,"Skip counting in hundreds, tens, and ones",Understanding the role of zero in place value
2,Elementary,Understanding fractions,Identifying equal parts,Recognizing and naming fractions,Comparing fractions,Fractions on a number line,Understanding equivalent fractions
2,Elementary,Comparing fractions and ordering fractions,Comparing fractions using symbols,Comparing fractions using models,Ordering fractions,Adding and subtracting fractions,Solving problems with comparing and ordering fractions
2,Elementary,Measurement of length,Measuring with non-standard units,Measuring with standard units,Comparing lengths,Estimating lengths,Measuring using different tools
2,Elementary,Measurement of weight,Measuring with non-standard units,Measuring with standard units,Comparing weights,Estimating weights,Comparing weights and solving weight-related problems
2,Elementary,Measurement of capacity,Measuring with non-standard units,Measuring with standard units,Comparing capacities,Estimating capacities,Comparing capacities and solving capacity-related problems
2,Elementary,Graphing data,Collecting and organizing data,Creating and interpreting bar graphs,Creating and interpreting pictographs,Creating and interpreting line plots,Analyzing data trends
2,Elementary,Interpreting data,Organizing and displaying data,Describing and comparing data sets,Making predictions based on data,Solving problems with data,Interpreting data from different graphs and charts
3,Elementary,Multiplication fluency,Multiplication facts,Multiplication strategies,Multiplication word problems,Solving multiplication equations,Estimating products
3,Elementary,Division fluency,Division facts,Division strategies,Division word problems,Solving division equations,Estimating quotients
3,Elementary,Addition of three-digit numbers,Addition without regrouping,Addition with regrouping,Addition word problems,Adding three-digit numbers,Solving addition equations
3,Elementary,Subtraction of three-digit numbers,Subtraction without regrouping,Subtraction with regrouping,Subtraction word problems,Subtracting three-digit numbers,Solving subtraction equations
3,Elementary,"Equivalent fractions, comparing fractions",Identifying equivalent fractions,Comparing fractions with like denominators,Comparing fractions with unlike denominators,Ordering fractions,Solving problems with equivalent and comparing fractions
3,Elementary,"Polygons, angles, symmetry",Identifying polygons and their attributes,Identifying angles,Identifying lines of symmetry,Understanding rotational symmetry,Solving problems with polygons and symmetry
3,Elementary,Measurement of time,Telling time to the minute,Elapsed time,Solving time-related problems,Converting units of time,Estimating time intervals
3,Elementary,Measurement of perimeter,Measuring perimeter using units,Finding missing side lengths of polygons,Solving perimeter problems,Calculating the perimeter of irregular shapes,Estimating perimeter
3,Elementary,Measurement of area,Finding the area of rectangles,Finding the area of irregular shapes,Finding the area of composite shapes,Estimating and comparing areas,Solving area-related problems
