Grade,Education Level,Math Topic,Sub_topic_1,Sub_topic_2,Sub_topic_3,Sub_topic_4,Sub_topic_5
1,Elementary,Counting numbers,1:Elementary:Counting numbers: Counting objects,1:Elementary:Counting numbers: Counting forward and backward,1:Elementary:Counting numbers: Skip counting by 2s and 5s,1:Elementary:Counting numbers: Counting in different patterns,1:Elementary:Counting numbers: Counting on a number line
1,Elementary,Comparing numbers,1:Elementary:Comparing numbers: Comparing numbers using symbols,1:Elementary:Comparing numbers: Comparing numbers using objects,1:Elementary:Comparing numbers: Comparing numbers,1:Elementary:Comparing numbers: Comparing quantities,1:Elementary:Comparing numbers: Comparing values
1,Elementary,Addition within 20,1:Elementary:Addition within 20: Addition without regrouping,1:Elementary:Addition within 20: Addition with regrouping,1:Elementary:Addition within 20: Word problems with addition,1:Elementary:Addition within 20: Adding three numbers,1:Elementary:Addition within 20: Solving addition equations
1,Elementary,Subtraction within 20,1:Elementary:Subtraction within 20: Subtraction without regrouping,1:Elementary:Subtraction within 20: Subtraction with regrouping,1:Elementary:Subtraction within 20: Word problems with subtraction,1:Elementary:Subtraction within 20: Subtracting from a given number,1:Elementary:Subtraction within 20: Solving subtraction equations
1,Elementary,Place value within 100,1:Elementary:Place value within 100: Place value of tens and ones,1:Elementary:Place value within 100: Expanded form of two-digit numbers,1:Elementary:Place value within 100: Comparing two-digit numbers,1:Elementary:Place value within 100: Skip counting in tens and ones,1:Elementary:Place value within 100: Representing numbers
1,Elementary,Measurement of length,1:Elementary:Measurement of length: Measuring with non-standard units,1:Elementary:Measurement of length: Measuring with standard units,1:Elementary:Measurement of length: Comparing lengths,1:Elementary:Measurement of length: Estimating lengths,1:Elementary:Measurement of length: Measuring using different tools
1,Elementary,Measurement of time,1:Elementary:Measurement of time: Telling time to the hour,1:Elementary:Measurement of time: Telling time to the half-hour,1:Elementary:Measurement of time: Telling time to the quarter-hour,1:Elementary:Measurement of time: Elapsed time,1:Elementary:Measurement of time: Solving time-related problems
1,Elementary,Measurement of money,1:Elementary:Measurement of money: Identifying coins and their value,1:Elementary:Measurement of money: Counting coins to make a given amount,1:Elementary:Measurement of money: Making change with coins,1:Elementary:Measurement of money: Solving money word problems,1:Elementary:Measurement of money: Comparing values of coins and bills
1,Elementary,2D shapes recognition,1:Elementary:2D shapes recognition: Identifying shapes and attributes,1:Elementary:2D shapes recognition: Sorting shapes by attributes,1:Elementary:2D shapes recognition: Creating composite shapes,1:Elementary:2D shapes recognition: Identifying lines of symmetry,1:Elementary:2D shapes recognition: Describing 2D shapes
1,Elementary,3D shapes recognition,1:Elementary:3D shapes recognition: Identifying and naming shapes,1:Elementary:3D shapes recognition: Describing attributes of 3D shapes,1:Elementary:3D shapes recognition: Sorting 3D shapes,1:Elementary:3D shapes recognition: Identifying real-life objects,1:Elementary:3D shapes recognition: Constructing 3D shapes
2,Elementary,Addition of two-digit numbers,2:Elementary:Addition of two-digit numbers: Addition without regrouping,2:Elementary:Addition of two-digit numbers: Addition with minimal regrouping,2:Elementary:Addition of two-digit numbers: Addition with regrouping,2:Elementary:Addition of two-digit numbers: Addition with multiple regrouping,2:Elementary:Addition of two-digit numbers: Problem-solving with addition
2,Elementary,Subtraction of two-digit numbers,2:Elementary:Subtraction of two-digit numbers: Subtraction without regrouping,2:Elementary:Subtraction of two-digit numbers: Subtraction with minimal regrouping,2:Elementary:Subtraction of two-digit numbers: Subtraction with regrouping,2:Elementary:Subtraction of two-digit numbers: Subtraction with multiple regrouping,2:Elementary:Subtraction of two-digit numbers: Problem-solving with subtraction
2,Elementary,Introduction to multiplication concepts,2:Elementary:Introduction to multiplication concepts: Equal groups and repeated addition,2:Elementary:Introduction to multiplication concepts: Introduction to multiplication tables,2:Elementary:Introduction to multiplication concepts: Multiplication word problems,2:Elementary:Introduction to multiplication concepts: Solving multiplication equations,2:Elementary:Introduction to multiplication concepts: Understanding the commutative property of multiplication
2,Elementary,Introduction to division concepts,2:Elementary:Introduction to division concepts: Sharing equally and grouping,2:Elementary:Introduction to division concepts: Introduction to division facts,2:Elementary:Introduction to division concepts: Division word problems,2:Elementary:Introduction to division concepts: Dividing by one-digit divisors,2:Elementary:Introduction to division concepts: Solving division equations
2,Elementary,Place value within 1000,"2:Elementary:Place value within 1000: Place value of hundreds, tens, and ones",2:Elementary:Place value within 1000: Expanded form of three-digit numbers,2:Elementary:Place value within 1000: Comparing three-digit numbers,"2:Elementary:Place value within 1000: Skip counting in hundreds, tens, and ones",2:Elementary:Place value within 1000: Understanding the role of zero in place value
2,Elementary,Understanding fractions,2:Elementary:Understanding fractions: Identifying equal parts,2:Elementary:Understanding fractions: Recognizing and naming fractions,2:Elementary:Understanding fractions: Comparing fractions,2:Elementary:Understanding fractions: Fractions on a number line,2:Elementary:Understanding fractions: Understanding equivalent fractions
2,Elementary,Comparing fractions and ordering fractions,2:Elementary:Comparing fractions and ordering fractions: Comparing fractions using symbols,2:Elementary:Comparing fractions and ordering fractions: Comparing fractions using models,2:Elementary:Comparing fractions and ordering fractions: Ordering fractions,2:Elementary:Comparing fractions and ordering fractions: Adding and subtracting fractions,2:Elementary:Comparing fractions and ordering fractions: Solving problems with comparing and ordering fractions
2,Elementary,Measurement of length,2:Elementary:Measurement of length: Measuring with non-standard units,2:Elementary:Measurement of length: Measuring with standard units,2:Elementary:Measurement of length: Comparing lengths,2:Elementary:Measurement of length: Estimating lengths,2:Elementary:Measurement of length: Measuring using different tools
2,Elementary,Measurement of weight,2:Elementary:Measurement of weight: Measuring with non-standard units,2:Elementary:Measurement of weight: Measuring with standard units,2:Elementary:Measurement of weight: Comparing weights,2:Elementary:Measurement of weight: Estimating weights,2:Elementary:Measurement of weight: Comparing weights and solving weight-related problems
2,Elementary,Measurement of capacity,2:Elementary:Measurement of capacity: Measuring with non-standard units,2:Elementary:Measurement of capacity: Measuring with standard units,2:Elementary:Measurement of capacity: Comparing capacities,2:Elementary:Measurement of capacity: Estimating capacities,2:Elementary:Measurement of capacity: Comparing capacities and solving capacity-related problems
2,Elementary,Graphing data,2:Elementary:Graphing data: Collecting and organizing data,2:Elementary:Graphing data: Creating and interpreting bar graphs,2:Elementary:Graphing data: Creating and interpreting pictographs,2:Elementary:Graphing data: Creating and interpreting line plots,2:Elementary:Graphing data: Analyzing data trends
2,Elementary,Interpreting data,2:Elementary:Interpreting data: Organizing and displaying data,2:Elementary:Interpreting data: Describing and comparing data sets,2:Elementary:Interpreting data: Making predictions based on data,2:Elementary:Interpreting data: Solving problems with data,2:Elementary:Interpreting data: Interpreting data from different graphs and charts
3,Elementary,Multiplication fluency,3:Elementary:Multiplication fluency: Multiplication facts,3:Elementary:Multiplication fluency: Multiplication strategies,3:Elementary:Multiplication fluency: Multiplication word problems,3:Elementary:Multiplication fluency: Solving multiplication equations,3:Elementary:Multiplication fluency: Estimating products
3,Elementary,Division fluency,3:Elementary:Division fluency: Division facts,3:Elementary:Division fluency: Division strategies,3:Elementary:Division fluency: Division word problems,3:Elementary:Division fluency: Solving division equations,3:Elementary:Division fluency: Estimating quotients
3,Elementary,Addition of three-digit numbers,3:Elementary:Addition of three-digit numbers: Addition without regrouping,3:Elementary:Addition of three-digit numbers: Addition with regrouping,3:Elementary:Addition of three-digit numbers: Addition word problems,3:Elementary:Addition of three-digit numbers: Adding three-digit numbers,3:Elementary:Addition of three-digit numbers: Solving addition equations
3,Elementary,Subtraction of three-digit numbers,3:Elementary:Subtraction of three-digit numbers: Subtraction without regrouping,3:Elementary:Subtraction of three-digit numbers: Subtraction with regrouping,3:Elementary:Subtraction of three-digit numbers: Subtraction word problems,3:Elementary:Subtraction of three-digit numbers: Subtracting three-digit numbers,3:Elementary:Subtraction of three-digit numbers: Solving subtraction equations
3,Elementary,"Equivalent fractions, comparing fractions","3:Elementary:Equivalent fractions, comparing fractions: Identifying equivalent fractions","3:Elementary:Equivalent fractions, comparing fractions: Comparing fractions with like denominators","3:Elementary:Equivalent fractions, comparing fractions: Comparing fractions with unlike denominators","3:Elementary:Equivalent fractions, comparing fractions: Ordering fractions","3:Elementary:Equivalent fractions, comparing fractions: Solving problems with equivalent and comparing fractions"
3,Elementary,"Polygons, angles, symmetry","3:Elementary:Polygons, angles, symmetry: Identifying polygons and their attributes","3:Elementary:Polygons, angles, symmetry: Identifying angles","3:Elementary:Polygons, angles, symmetry: Identifying lines of symmetry","3:Elementary:Polygons, angles, symmetry: Understanding rotational symmetry","3:Elementary:Polygons, angles, symmetry: Solving problems with polygons and symmetry"
3,Elementary,Measurement of time,3:Elementary:Measurement of time: Telling time to the minute,3:Elementary:Measurement of time: Elapsed time,3:Elementary:Measurement of time: Solving time-related problems,3:Elementary:Measurement of time: Converting units of time,3:Elementary:Measurement of time: Estimating time intervals
3,Elementary,Measurement of perimeter,3:Elementary:Measurement of perimeter: Measuring perimeter using units,3:Elementary:Measurement of perimeter: Finding missing side lengths of polygons,3:Elementary:Measurement of perimeter: Solving perimeter problems,3:Elementary:Measurement of perimeter: Calculating the perimeter of irregular shapes,3:Elementary:Measurement of perimeter: Estimating perimeter
3,Elementary,Measurement of area,3:Elementary:Measurement of area: Finding the area of rectangles,3:Elementary:Measurement of area: Finding the area of irregular shapes,3:Elementary:Measurement of area: Finding the area of composite shapes,3:Elementary:Measurement of area: Estimating and comparing areas,3:Elementary:Measurement of area: Solving area-related problems
